都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,緯度(度)_10進数,経度(度)_10進数,都道府県,地点,国際地点番号,特定期間の始まり（年）,特定期間の始まり（月）,特定期間の始まり（日）,特定期間の終わり（年）,特定期間の終わり（月）,特定期間の終わり（日）,現在時刻（時）,現在時刻（分）,期間最大値（mm）,期間最大値の品質情報,期間最大値の起時（まで）（年）,期間最大値の起時（まで）（月）,期間最大値の起時（まで）（日）,期間最大値の起時（まで）（時）,期間最大値の起時（まで）（分）,期間最大値の起時（まで）の品質情報,極値更新,10年未満での極値更新,極値比較対象月,これまでの観測史上1位の値（mm）,これまでの観測史上1位の値の品質情報,これまでの観測史上1位の値の年,これまでの観測史上1位の値の月,これまでの観測史上1位の値の日,これまでの月の1位の値（mm）,これまでの月の1位の値の品質情報,これまでの月の1位の値の年,これまでの月の1位の値の月,これまでの月の1位の値の日,統計開始年
宗谷,11001,四,宗谷岬,ｿｳﾔﾐｻｷ,稚内市宗谷岬,稚内市宗谷岬,45,31.2,141,56.1,26,10.1,1.5,昭53.10.30,－,－,45.52,141.935,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,09,40,8,,,7,150.0,8,2020,08,07,117.0,8,2015,07,14,1978
宗谷,11016,官,稚内,ﾜｯｶﾅｲ,稚内市開運,稚内市開運　稚内地方気象台,45,24.9,141,40.7,3,24.1,－,#昭50.4.1,11903,－,45.415,141.67833333333334,北海道 宗谷地方,稚内（ワッカナイ）,47401,2023,07,07,2023,07,10,,,2.5,8,2023,07,07,10,40,8,,,7,195.5,8,2016,09,06,105.0,8,2015,07,14,1976
宗谷,11046,四,礼文,ﾚﾌﾞﾝ,礼文町香深,礼文郡礼文町大字香深村トンナイ,45,18.3,141,2.7,65,9.9,1.5,平15.10.17,－,－,45.305,141.045,北海道 宗谷地方,礼文（レブン）,,2023,07,07,2023,07,10,,,7.0,8,2023,07,07,08,00,8,,,7,183.0,8,2014,08,24,104.5,8,2015,07,13,2003
宗谷,11061,官,声問,ｺｴﾄｲ,稚内空港,稚内市大字声問村字声問　稚内航空気象観測所,45,24.2,141,48.1,8,10,－,平15.1.1,11904,日照・湿度・気圧を除く,45.403333333333336,141.80166666666668,北海道 宗谷地方,声問（コエトイ）,,2023,07,07,2023,07,10,,,11.5,8,2023,07,07,08,10,8,,,7,157.0,8,2016,09,06,104.0,8,2015,07,14,2003
宗谷,11076,四,浜鬼志別,ﾊﾏｵﾆｼﾍﾞﾂ,猿払村浜鬼志別,宗谷郡猿払村浜鬼志別,45,20.1,142,10.2,13,6.5,1.5,昭53.10.30,11900,湿度を除く,45.335,142.17,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2023,07,07,2023,07,10,,,2.5,8,2023,07,07,08,30,8,,,7,141.0,8,2015,07,14,141.0,8,2015,07,14,1978
宗谷,11091,官,本泊,ﾓﾄﾄﾞﾏﾘ,利尻空港,利尻郡利尻富士町鴛泊字本泊　利尻航空気象観測所,45,14.5,141,11.2,30,10,－,平15.1.1,－,日照・湿度・気圧を除く,45.24166666666667,141.18666666666667,北海道 宗谷地方,本泊（モトドマリ）,,2023,07,07,2023,07,10,,,5.0,8,2023,07,07,06,00,8,,,7,176.5,8,2016,09,06,122.0,8,2012,07,13,2003
宗谷,11121,四,沼川,ﾇﾏｶﾜ,稚内市沼川,稚内市声問村沼川,45,14.9,141,51.1,23,10,1.5,昭52.10.20,11905,湿度を除く,45.248333333333335,141.85166666666666,北海道 宗谷地方,沼川（ヌマカワ）,,2023,07,07,2023,07,10,,,4.0,8,2023,07,07,10,00,8,,,7,111.0,8,2020,08,07,98.0,8,2015,07,14,1977
宗谷,11151,四,沓形,ｸﾂｶﾞﾀ,利尻町沓形,利尻郡利尻町沓形泉町,45,10.7,141,8.3,14,9.9,1.5,#昭52.10.24,－,－,45.178333333333335,141.13833333333332,北海道 宗谷地方,沓形（クツガタ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,07,40,8,,,7,168.0,8,2016,09,06,109.0,8,2015,07,14,1976
宗谷,11176,四,豊富,ﾄﾖﾄﾐ,豊富,天塩郡豊富町豊富東2条,45,6.1,141,46.8,14,10,1.5,(昭50.5.29)昭52.10.25,11910,湿度を除く,45.10166666666667,141.78,北海道 宗谷地方,豊富（トヨトミ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,11,30,8,,,7,129.5,8,2014,08,24,114.0,8,1999,07,30,1976
宗谷,11206,四,浜頓別,ﾊﾏﾄﾝﾍﾞﾂ,浜頓別,枝幸郡浜頓別町クッチャロ湖畔,45,7.5,142,21,18,10,2.5,#昭52.10.19,－,湿度を除く,45.125,142.35,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2023,07,07,2023,07,10,,,4.0,8,2023,07,07,12,30,8,,,7,118.0,8,1981,08,06,95.0,8,2001,07,06,1976
