観測所番号,都道府県,地点,国際地点番号,特定期間の始まり（年）,特定期間の始まり（月）,特定期間の始まり（日）,特定期間の終わり（年）,特定期間の終わり（月）,特定期間の終わり（日）,現在時刻（時）,現在時刻（分）,期間最大値（mm）,期間最大値の品質情報,期間最大値の起時（まで）（年）,期間最大値の起時（まで）（月）,期間最大値の起時（まで）（日）,期間最大値の起時（まで）（時）,期間最大値の起時（まで）（分）,期間最大値の起時（まで）の品質情報,極値更新,10年未満での極値更新,極値比較対象月,これまでの観測史上1位の値（mm）,これまでの観測史上1位の値の品質情報,これまでの観測史上1位の値の年,これまでの観測史上1位の値の月,これまでの観測史上1位の値の日,これまでの月の1位の値（mm）,これまでの月の1位の値の品質情報,これまでの月の1位の値の年,これまでの月の1位の値の月,これまでの月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,09,40,8,,,7,150.0,8,2020,08,07,117.0,8,2015,07,14,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2023,07,07,2023,07,10,,,2.5,8,2023,07,07,10,40,8,,,7,195.5,8,2016,09,06,105.0,8,2015,07,14,1976
11046,北海道 宗谷地方,礼文（レブン）,,2023,07,07,2023,07,10,,,7.0,8,2023,07,07,08,00,8,,,7,183.0,8,2014,08,24,104.5,8,2015,07,13,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2023,07,07,2023,07,10,,,11.5,8,2023,07,07,08,10,8,,,7,157.0,8,2016,09,06,104.0,8,2015,07,14,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2023,07,07,2023,07,10,,,2.5,8,2023,07,07,08,30,8,,,7,141.0,8,2015,07,14,141.0,8,2015,07,14,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2023,07,07,2023,07,10,,,5.0,8,2023,07,07,06,00,8,,,7,176.5,8,2016,09,06,122.0,8,2012,07,13,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2023,07,07,2023,07,10,,,4.0,8,2023,07,07,10,00,8,,,7,111.0,8,2020,08,07,98.0,8,2015,07,14,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,07,40,8,,,7,168.0,8,2016,09,06,109.0,8,2015,07,14,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,11,30,8,,,7,129.5,8,2014,08,24,114.0,8,1999,07,30,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2023,07,07,2023,07,10,,,4.0,8,2023,07,07,12,30,8,,,7,118.0,8,1981,08,06,95.0,8,2001,07,06,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2023,07,07,2023,07,10,,,10.5,8,2023,07,07,08,40,8,,,7,139.0,8,2015,10,09,98.5,8,2010,07,29,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2023,07,07,2023,07,10,,,27.0,8,2023,07,07,07,30,8,,,7,154.0,8,2015,10,09,101.0,8,1992,07,31,1976
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2023,07,07,2023,07,10,,,13.0,8,2023,07,07,08,10,8,,,7,170.0,8,1979,10,20,105.0,8,2001,07,06,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2023,07,07,2023,07,10,,,11.0,8,2023,07,07,07,40,8,,,7,129.0,8,2014,08,24,81.5,8,2015,07,14,2006
12011,北海道 上川地方,中川（ナカガワ）,,2023,07,07,2023,07,10,,,18.0,8,2023,07,07,08,00,8,,,7,167.0,8,2022,08,09,116.5,8,2010,07,29,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2023,07,07,2023,07,10,,,11.0,8,2023,07,07,08,00,8,,,7,158.0,8,2022,08,09,109.0,8,1992,07,31,1978
12066,北海道 上川地方,小車（オグルマ）,,2023,07,07,2023,07,10,,,19.0,8,2023,07,07,06,40,8,,,7,159.0,8,2006,10,08,103.0,8,2010,07,19,2006
12141,北海道 上川地方,美深（ビフカ）,,2023,07,07,2023,07,10,,,15.0,8,2023,07,07,07,30,8,,,7,151.5,8,2014,08,05,113.0,8,1992,07,31,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2023,07,07,2023,07,10,,,10.0,8,2023,07,07,07,20,8,,,7,153.5,8,2014,08,05,123.0,8,1992,07,31,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2023,07,07,2023,07,10,,,7.0,8,2023,07,07,06,30,8,,,7,160.0,8,2014,08,05,120.0,8,2010,07,30,2006
12231,北海道 上川地方,下川（シモカワ）,,2023,07,07,2023,07,10,,,16.0,8,2023,07,07,07,00,8,,,7,192.0,8,1981,08,04,111.0,8,1992,07,31,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2023,07,07,2023,07,10,,,6.0,8,2023,07,07,06,30,8,,,7,147.0,8,2011,09,03,93.0,8,2010,07,30,2006
12261,北海道 上川地方,士別（シベツ）,,2023,07,07,2023,07,10,,,10.0,8,2023,07,07,06,40,8,,,7,167.0,8,1981,08,04,111.0,8,2010,07,30,1976
12266,北海道 上川地方,朝日（アサヒ）,,2023,07,07,2023,07,10,,,10.5,8,2023,07,07,06,40,8,,,7,179.0,8,1981,08,04,92.5,8,2018,07,03,1976
12301,北海道 上川地方,和寒（ワッサム）,,2023,07,07,2023,07,10,,,3.5,8,2023,07,07,06,30,8,,,7,163.0,8,1981,08,05,117.0,8,2018,07,04,1977
12386,北海道 上川地方,江丹別（エタンベツ）,,2023,07,07,2023,07,10,,,3.0,8,2023,07,07,06,10,8,,,7,167.0,8,2000,09,02,141.0,8,2018,07,03,1977
12396,北海道 上川地方,比布（ピップ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,06,20,8,,,7,154.0,4,1981,08,05,99.0,8,2018,07,03,1976
12411,北海道 上川地方,上川（カミカワ）,,2023,07,07,2023,07,10,,,5.0,8,2023,07,07,06,20,8,,,7,146.5,8,2016,08,21,101.5,8,2014,07,28,1976
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2023,07,07,2023,07,10,,,3.0,8,2023,07,07,06,10,8,,,7,168.0,8,1981,08,04,144.5,8,2018,07,03,1976
12451,北海道 上川地方,東川（ヒガシカワ）,,2023,07,07,2023,07,10,,,4.0,8,2023,07,07,06,10,8,,,7,144.5,8,2016,08,21,140.0,8,2018,07,03,1977
12457,北海道 上川地方,瑞穂（ミズホ）,,2023,07,07,2023,07,10,,,7.0,8,2023,07,07,06,10,8,,,7,151.0,8,2011,09,03,146.0,8,2018,07,03,1984
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,06,30,8,,,7,198.0,4,1981,08,06,117.5,8,2018,07,03,1976
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2023,07,07,2023,07,10,,,4.0,8,2023,07,07,06,10,8,,,7,134.0,8,2018,07,03,134.0,8,2018,07,03,2003
12512,北海道 上川地方,志比内（シビナイ）,,2023,07,07,2023,07,10,,,4.5,8,2023,07,07,06,00,8,,,7,151.0,8,2011,09,03,141.5,8,2018,07,03,1993
12551,北海道 上川地方,美瑛（ビエイ）,,2023,07,07,2023,07,10,,,3.5,8,2023,07,07,05,50,8,,,7,149.0,4,1981,08,05,114.5,8,2018,07,03,1976
12596,北海道 上川地方,上富良野（カミフラノ）,,2023,07,07,2023,07,10,,,2.0,8,2023,07,07,05,20,8,,,7,212.0,4,1981,08,05,169.0,8,2011,07,15,1977
12607,北海道 上川地方,白金（シロガネ）,,2023,07,07,2023,07,10,,,3.0,8,2023,07,07,09,30,8,,,7,191.0,8,2016,08,23,136.5,8,2011,07,15,1984
12626,北海道 上川地方,富良野（フラノ）,,2023,07,07,2023,07,10,,,2.5,8,2023,07,07,05,20,8,,,7,196.0,4,1981,08,06,79.0,8,2011,07,14,1976
12632,北海道 上川地方,麓郷（ロクゴウ）,,2023,07,07,2023,07,10,,,1.5,8,2023,07,07,05,20,8,,,7,175.0,8,1981,08,06,95.0,8,2006,07,17,1978
12686,北海道 上川地方,金山（カナヤマ）,,2023,07,07,2023,07,10,,,14.5,8,2023,07,07,04,30,8,,,7,158.0,8,2006,08,19,72.5,8,2009,07,19,2006
12691,北海道 上川地方,幾寅（イクトラ）,,2023,07,07,2023,07,10,,,8.0,8,2023,07,07,05,20,8,,,7,210.0,8,2001,09,11,87.0,8,2011,07,14,1977
